gm_code,gm_naam,sted,aant_inw,opp_land,g_gas_tot_2010,g_gas_tot_2011,g_gas_tot_2012,g_gas_tot_2013,g_gas_tot_2014,p_stad_ver_2010,p_stad_ver_2011,p_stad_ver_2012,p_stad_ver_2013,p_stad_ver_2014
GM1901,Bodegraven-Reeuwijk,3,33451,7568, ,1600,1650,1800,1300, , ,0,0,0
GM1904,Stichtse Vecht,3,64061,9625, ,1550,1650,1750,1300, , , , ,
GM1908,Menameradiel,5,13543,6884, ,1800,1900,2000,1550, , , , ,
GM1911,Hollands Kroon,5,47546,35761, , ,1750,1850,1400, , , , ,
GM1927,Molenwaard,5,29067,11828, , , ,1800,1350, , , , ,
GM1931,Krimpenerwaard,4,54653,14966,2060,1610,1660,1780,1310,,,,,
GM1940,De Fryske Marren,4,51265,35166, , , , ,1450, , , , ,
GM1942,Gooise Meren,2,56696,4160,2366.6666666667,1866.6666666667,2000,2116.6666666667,1566.6666666667,,,,,
GM1955,Montferland,4,35173,10570,2250,1800,1850,1950,1450, , , , ,
GM1987,Menterwolde,5,12233,8025,2450,1950,2050,2150,1600, , , , ,
GM0489,Barendrecht,2,47861,1985,1600,1250,1350,1400,1050, , ,0,0,0
GM0530,Hellevoetsluis,2,38634,3149,1650,1300,1350,1450,1100, , , , ,
GM0584,Oud-Beijerland,3,23851,1873,1900,1500,1550,1600,1200, , , , ,
GM0585,Binnenmaas,4,28771,6930,2000,1550,1600,1750,1300, , ,0,0,0
GM0588,Korendijk,5,10825,7615,2150,1700,1750,1850,1350, , , , ,
GM0611,Cromstrijen,4,12755,5443,2000,1550,1650,1800,1300, , , , ,
GM0613,Albrandswaard,3,24985,2173,1850,1400,1450,1550,1150, , ,0,0,0
GM0617,Strijen,4,8766,5026,2050,1600,1650,1750,1300, , , , ,
GM0654,Borsele,5,22612,14174,1950,1500,1600,1750,1300, , , , ,
GM0664,Goes,3,37207,9257,1750,1350,1450,1550,1150, , ,0,0,0
GM0677,Hulst,5,27372,20161,2050,1600,1700,1850,1400, , ,0,0,0
GM0678,Kapelle,4,12639,3713,1950,1500,1600,1750,1300, , , , ,
GM0687,Middelburg,2,47873,4847,1700,1350,1400,1550,1150, , , , ,
GM0703,Reimerswaal,4,22265,10184,1900,1500,1600,1700,1300, , , , ,
GM0715,Terneuzen,4,54657,25051,1850,1450,1550,1700,1250, , , , ,
GM0716,Tholen,5,25421,14677,1900,1500,1550,1700,1300, , , , ,
GM0717,Veere,5,21960,13275,2100,1650,1650,1800,1400, , , , ,
GM0718,Vlissingen,2,44451,3424,1650,1300,1350,1450,1050, , ,0,0,0
GM0748,Bergen op Zoom,2,66237,7991,1800,1350,1500,1600,1150, , ,0,0,0
GM0840,Rucphen,4,22276,6441,2500,1950,2100,2200,1650, , , , ,
GM0851,Steenbergen,4,23477,14637,2200,1650,1800,1900,1400, , , , ,
GM0873,Woensdrecht,4,21682,9168,2250,1700,1900,2000,1450, , , , ,
GM1655,Halderberge,4,29531,7448,2300,1750,1900,1950,1450, , , , ,
GM1674,Roosendaal,2,76960,10647,2000,1500,1650,1750,1300, , , , ,
GM1676,Schouwen-Duiveland,4,33735,22997,2050,1600,1650,1800,1350, , , , ,
GM1695,Noord-Beveland,5,7421,8588,1850,1450,1550,1650,1300, , , , ,
GM1709,Moerdijk,4,36762,15917,2150,1600,1750,1850,1350, , , , ,
GM1714,Sluis,5,23639,27936,1950,1550,1650,1750,1350, , , , ,
GM1924,Goeree-Overflakkee,4,48321,26192, , , ,1800,1350, , , , ,
GM1930,Nissewaard,2,85293,8323,1775,1400,1450,1575,1175,,,,,
GM0252,Heumen,4,16360,3982,2300,1800,1850,2000,1450, , , , ,
GM0263,Maasdriel,5,24084,6613,2450,1850,2000,2100,1550, , , , ,
GM0268,Nijmegen,2,172064,5361,1700,1350,1350,1500,1100, , ,0,0,0
GM0296,Wijchen,3,40814,6621,2000,1500,1600,1700,1250, , ,0,0,0
GM0297,Zaltbommel,4,27543,7961,2200,1700,1800,1950,1450, , , , ,
GM0304,Neerijnen,5,12122,6599,2500,1950,2000,2150,1600, , , , ,
GM0505,Dordrecht,1,118801,7861,1700,1300,1400,1450,1100, , ,0,0,0
GM0512,Gorinchem,2,35260,1887,1700,1250,1300,1400,1050, , ,0,0,0
GM0523,Hardinxveld-Giessendam,4,17774,1692,1850,1450,1500,1600,1150, , , , ,
GM0531,Hendrik-Ido-Ambacht,2,29408,1061,1800,1350,1450,1500,1150, , , , ,
GM0590,Papendrecht,2,32248,941,1600,1200,1250,1300,950,7,7,9.2,8.4,8.5
GM0610,Sliedrecht,2,24968,1283,1700,1300,1400,1450,1100, , , , ,
GM0642,Zwijndrecht,2,44454,2035,1750,1350,1450,1500,1150, , , , ,
GM0668,West Maas en Waal,5,18693,7717,2450,1900,2000,2150,1550, , ,0,0,0
GM0733,Lingewaal,5,11112,5039,2200,1750,1800,1900,1400, , , , ,
GM0738,Aalburg,5,13038,5041,2450,1850,1950,2050,1550, , , , ,
GM0786,Grave,4,12643,2718,2100,1650,1750,1900,1400, , , , ,
GM0828,Oss,3,90003,16319,2050,1600,1750,1850,1350, , , , ,
GM0870,Werkendam,4,26527,10206,2200,1700,1850,1900,1400, , , , ,
GM0874,Woudrichem,5,14518,4939,2250,1800,1950,2050,1500, , , , ,
GM0944,Mook en Middelaar,5,7755,1738,2450,1900,2000,2200,1600, , , , ,
GM1945,Berg en Dal,4,34574,8649,2233.3333333333,1750,1783.3333333333,1916.6666666667,1433.3333333333,,,,,
GM0743,Asten,4,16580,7017,2250,1800,1850,1950,1450, , , , ,
GM0753,Best,3,28976,3430,2050,1550,1650,1800,1300, , , , ,
GM0755,Boekel,5,10254,3451,2400,1900,1950,2150,1600, , , , ,
GM0756,Boxmeer,4,28465,11144,2200,1750,1800,2000,1450, , , , ,
GM0757,Boxtel,3,30406,6373,2050,1600,1700,1800,1300, , , , ,
GM0758,Breda,2,181611,12596,1650,1250,1300,1400,1000,16,16,17.4,17.2,16.8
GM0762,Deurne,4,31878,11693,2250,1750,1850,2000,1500, , , , ,
GM0766,Dongen,3,25413,2929,2050,1500,1650,1750,1300, , ,0,0,0
GM0770,Eersel,4,18551,8246,2450,1950,2000,2100,1600, , , , ,
GM0772,Eindhoven,1,224755,8765,1700,1350,1400,1550,1150, , ,0,0,0
GM0777,Etten-Leur,2,42832,5534,1950,1550,1650,1750,1300, , , , ,
GM0779,Geertruidenberg,3,21630,2665,1950,1450,1500,1600,1150,6,5,6.7,6.6,6.4
GM0784,Gilze en Rijen,3,26152,6549,2000,1550,1700,1750,1300, , , , ,
GM0785,Goirle,3,23111,4209,2100,1600,1700,1800,1300, , ,0,0,0
GM0788,Haaren,5,13570,5771,2650,2000,2200,2200,1700, , , , ,
GM0794,Helmond,2,90127,5319,1500,1150,1200,1350,1000,17,17,16.4,16.5,16
GM0796,'s-Hertogenbosch,2,151608,11051,1800,1350,1450,1550,1100, , ,0,0,0
GM0797,Heusden,3,43274,7888,2200,1650,1750,1900,1400, , , , ,
GM0798,Hilvarenbeek,4,15164,9490,2450,1850,2000,2150,1550, , , , ,
GM0809,Loon op Zand,3,22929,5001,2100,1600,1750,1850,1350, , , , ,
GM0815,Mill en Sint Hubert,5,10801,5223,2400,1900,1950,2100,1550, , , , ,
GM0820,"Nuenen, Gerwen en Nederwetten",3,22763,3372,2400,1900,1900,2000,1550, , , , ,
